DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
116890-67026,Jaylen Brown,SF/SG,BOS,NY,,11400,0,65.955,,65.96,5.785526315789474,0,,0,100,107.646,210.51670000000001,45.5205,57.074999999999996,66.86250000000001,76.40625,82.06875,92.15625,103.8579,43.9718,54.75750000000001,64.4025,74.2875,79.77,89.80499999999999,101.21249999999999,43.9718,54.75750000000001,64.4025,74.2875,79.77,89.80499999999999,101.21249999999999,44.8442,56.25750000000001,65.73750000000001,75.27195,80.7525,90.48750000000001,101.88150000000002,14.68479,14.769435,14.769435,14.381175,25.5297,40.2309,7.45061,2.41279,6.99756,1.47434,5.52322,5.20373,0.969329,0.395875,2.66071
116890-84690,Jalen Brunson,PG,NY,BOS,,13000,0,62.28,,62.28,4.7907692307692304,0,,0,100,102.8707,210.51670000000001,43.0862,52.59375,63.131249999999994,73.42500000000001,78.88125,88.5084,99.75,41.5156,50.535,60.599999999999994,71.0325,76.5825,86.19,97.2225,41.5156,50.535,60.599999999999994,71.0325,76.5825,86.19,97.2225,42.2703,51.885000000000005,61.86749999999999,72.015,77.265,86.56425,97.59,15.44445,15.3501,15.3501,15.0252,26.0974,38.2605,6.94705,2.70298,2.89362,0.653037,2.24058,6.64719,0.925779,0.216979,2.44991
116890-58462,Karl-Anthony Towns,C,NY,BOS,,10800,0,60.150000000000006,,60.15,5.569444444444445,0,,0,100,102.8707,210.51670000000001,41.1607,50.943749999999994,59.90625,70.03125,76.03125,86.56875,99.93960000000001,40.0983,49.275000000000006,58.49249999999999,68.51249999999999,74.29245,84.7458,98.10000000000001,40.0983,49.275000000000006,58.49249999999999,68.51249999999999,74.29245,84.7458,98.10000000000001,40.622,50.2275,59.212500000000006,69.0825,74.9475,85.11675,98.2533,14.539455,14.532029999999999,14.532029999999999,14.278365,18.928,36.7678,5.22777,1.64388,12.9557,2.95206,10.0036,2.01243,0.791317,0.541183,1.87184
116890-49675,Derrick White,SG/PG,BOS,NY,,10000,0,54.96,,54.96,5.496,0,,0,100,107.646,210.51670000000001,37.8496,48.712500000000006,58.462500000000006,68.08125000000001,73.36875,82.40625,92.90835,36.6395,46.8825,56.4975,66.51,71.64,80.685,91.01400000000001,36.6395,46.8825,56.4975,66.51,71.64,80.685,91.01400000000001,37.161,47.7825,57.2475,67.0425,72.07499999999999,80.7525,90.86475,14.397570000000002,14.386545,14.386545,14.083829999999999,20.1399,38.0763,3.24273,3.63914,5.13753,1.09314,4.04438,5.28089,0.898429,0.918333,1.84393
116890-40562,Josh Hart,SF/PF,NY,BOS,,9400,0,48.074999999999996,,48.08,5.11436170212766,0,,0,100,102.8707,210.51670000000001,32.6105,38.08125,46.125,54.375,59.081250000000004,67.36875,77.75625,32.0456,36.847500000000004,45.165,53.664300000000004,58.364999999999995,66.86250000000001,77.64059999999999,32.0456,36.847500000000004,45.165,53.664300000000004,58.364999999999995,66.86250000000001,77.64059999999999,32.4076,37.665,45.765,53.947500000000005,58.5975,66.795,77.34285,12.282675,12.56334,12.56334,12.214064999999998,11.4872,36.5625,3.04713,1.27781,8.39631,1.91081,6.4855,4.38177,0.910933,0.396833,1.71773
116890-63122,Kristaps Porzingis,PF/C,BOS,NY,,5600,0,46.455,,46.46,8.295535714285714,0,,0,100,107.646,210.51670000000001,30.6968,38.41875,47.212500000000006,56.39534999999999,61.762499999999996,71.23124999999999,83.8725,30.9713,38.7,47.57625,57.239999999999995,62.8575,72.69405,86.19239999999999,30.9713,38.7,47.57625,57.239999999999995,62.8575,72.69405,86.19239999999999,31.2242,39.2175,47.985,57.406949999999995,62.99249999999999,72.4725,85.6575,13.363845000000001,13.893885,13.893885,13.626975,15.9796,29.132,4.02967,1.63042,6.58292,1.37411,5.20881,2.28303,0.80885,1.30428,1.23996
116890-68090,OG Anunoby,SF/PF,NY,BOS,,7600,0,45.255,,45.26,5.954605263157896,0,,0,100,102.8707,210.51670000000001,30.7155,35.60625,44.025000000000006,53.15625,57.862500000000004,66.65625,75.86250000000001,30.1742,34.92,43.29,52.394999999999996,57.262499999999996,66.015,75.10725,30.1742,34.92,43.29,52.394999999999996,57.262499999999996,66.015,75.10725,30.3259,35.287499999999994,43.575,52.394999999999996,57.112500000000004,65.565,74.64240000000001,12.786660000000001,12.871215,12.871215,12.493860000000002,16.2227,38.9449,3.78262,2.36521,5.13219,1.17158,3.96061,2.25047,1.12205,0.514787,1.45521
116890-84670,Mikal Bridges,SG/SF,NY,BOS,,7800,0,45.12,,45.12,5.784615384615384,0,,0,100,102.8707,210.51670000000001,30.1488,32.756249999999994,41.175,49.425000000000004,54.09375,62.35215,72.09375,30.0809,32.3382,40.6575,49.50750000000001,54.38505000000001,62.68169999999999,72.6096,30.0809,32.3382,40.6575,49.50750000000001,54.38505000000001,62.68169999999999,72.6096,30.1767,32.8725,41.1075,49.49249999999999,54.1275,62.144999999999996,72.294,12.29886,12.648150000000001,12.648150000000001,12.22362,14.4455,40.9388,3.52719,1.82596,4.05351,0.924971,3.12853,3.06659,1.19513,0.506583,1.56148
116890-9453,Al Horford,C/PF,BOS,NY,,5000,0,44.099999999999994,,44.1,8.82,0,,0,100,107.646,210.51670000000001,29.0713,33.84375,41.5125,49.556250000000006,54.262499999999996,62.34375,71.55000000000001,29.4034,34.11,41.962500000000006,50.42999999999999,55.1475,63.712500000000006,73.419,29.4034,34.11,41.962500000000006,50.42999999999999,55.1475,63.712500000000006,73.419,29.4067,34.410000000000004,41.962500000000006,50.197500000000005,55.065,63.112500000000004,72.58500000000001,11.707125000000001,12.104474999999999,12.104474999999999,11.85384,9.09942,35.7488,1.55303,1.79883,8.41942,1.77419,6.64523,2.48469,0.858483,1.25872,0.874271
116890-9663,Jrue Holiday,PG/SG,BOS,NY,,5400,0,43.755,,43.76,8.102777777777778,0,,0,100,107.646,210.51670000000001,29.3699,35.08125,42.787499999999994,51.07965,55.706250000000004,63.3834,72.75,29.1665,34.6125,42.495,51.03,55.67999999999999,63.735,73.51650000000001,29.1665,34.6125,42.495,51.03,55.67999999999999,63.735,73.51650000000001,29.387,35.13,42.712500000000006,50.947500000000005,55.515,63.285,72.84809999999999,11.75319,12.124065000000002,12.124065000000002,11.70378,12.0886,35.599,2.99622,1.65538,5.08683,1.06943,4.0174,4.66261,1.25917,0.456725,1.61467
